Filename,TotalFrames,Rows,Columns
\Back\MIMIKYU_1.png,1,1,1
\Back\MINCCINO.png,141,12,12
\Back\MINIOR.png,1,1,1
\Back\MINIOR_1.png,1,1,1
\Back\MINIOR_2.png,1,1,1
\Back\MINIOR_3.png,1,1,1
\Back\MINIOR_4.png,1,1,1
\Back\MINIOR_5.png,1,1,1
\Back\MINIOR_6.png,1,1,1
\Back\MINIOR_7.png,1,1,1
\Back\MINUN.png,144,12,12
\Back\MISDREAVUS.png,95,10,10
\Back\MISMAGIUS.png,29,5,6
\Back\MOLTRES.png,53,7,8
\Back\MONFERNO.png,127,11,12
\Back\MORELULL.png,1,1,1
\Back\MOTHIM.png,18,4,5
\Back\MRMIME.png,127,11,12
\Back\MUDBRAY.png,1,1,1
\Back\MUDKIP.png,139,12,12
\Back\MUDSDALE.png,1,1,1
\Back\MUK.png,103,10,11
\Back\MUK_1.png,1,1,1
\Back\MUNCHLAX.png,143,12,12
\Back\MUNNA.png,181,13,14
\Back\MURKROW.png,61,8,8
\Back\MURKROW_female.png,61,8,8
\Back\MUSHARNA.png,60,8,8
\Back\NAGANADEL.png,1,1,1
\Back\NATU.png,129,11,12
\Back\NECROZMA.png,1,1,1
\Back\NECROZMA_1.png,1,1,1
\Back\NECROZMA_2.png,1,1,1
\Back\NECROZMA_3.png,1,1,1
\Back\NIDOKING.png,105,10,11
\Back\NIDOQUEEN.png,121,11,11
\Back\NIDORANfE.png,82,9,10
\Back\NIDORANmA.png,121,11,11
\Back\NIDORINA.png,49,7,7
\Back\NIDORINO.png,99,10,10
\Back\NIHILEGO.png,1,1,1
\Back\NINCADA.png,107,10,11
\Back\NINETALES.png,107,10,11
\Back\NINETALES_1.png,1,1,1
\Back\NINJASK.png,74,9,9
\Back\NOCTOWL.png,72,8,9
\Back\NOIBAT.png,1,1,1
\Back\NOIVERN.png,1,1,1
\Back\NOSEPASS.png,14,4,4
\Back\NUMEL.png,49,7,7
\Back\NUMEL_female.png,49,7,7
\Back\NUZLEAF.png,89,9,10
\Back\NUZLEAF_female.png,89,9,10
\Back\OCTILLERY.png,33,6,6
\Back\OCTILLERY_female.png,32,6,6
\Back\ODDISH.png,109,10,11
\Back\OMANYTE.png,68,8,9
\Back\OMASTAR.png,155,12,13
\Back\ONIX.png,143,12,12
\Back\ORANGURU.png,1,1,1
\Back\ORICORIO.png,1,1,1
\Back\ORICORIO_1.png,1,1,1
\Back\ORICORIO_2.png,1,1,1
\Back\ORICORIO_3.png,1,1,1
\Back\OSHAWOTT.png,295,17,18
\Back\PACHIRISU.png,112,11,11
\Back\PACHIRISU_female.png,112,11,11
\Back\PALKIA.png,127,11,12
\Back\PALOSSAND.png,1,1,1
\Back\PALPITOAD.png,121,11,11
\Back\PANCHAM.png,55,7,8
\Back\PANGORO.png,38,6,7
\Back\PANPOUR.png,77,9,9
\Back\PANSAGE.png,174,13,14
\Back\PANSEAR.png,95,10,10
\Back\PARAS.png,74,9,9
\Back\PARASECT.png,65,8,9
\Back\PASSIMIAN.png,1,1,1
\Back\PATRAT.png,103,10,11
\Back\PAWNIARD.png,134,12,12
\Back\PELIPPER.png,142,12,12
\Back\PERSIAN.png,107,10,11
\Back\PERSIAN_1.png,1,1,1
\Back\PETILIL.png,107,10,11
\Back\PHANPY.png,107,10,11
\Back\PHANTUMP.png,1,1,1
\Back\PHEROMOSA.png,1,1,1
\Back\PHIONE.png,143,12,12
\Back\PICHU.png,113,11,11
\Back\PIDGEOT.png,68,8,9
\Back\PIDGEOTTO.png,35,6,6
\Back\PIDGEOT_1.png,1,1,1
\Back\PIDGEY.png,41,6,7
\Back\PIDOVE.png,84,9,10
\Back\PIGNITE.png,126,11,12
